domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
10000bc.playfun.vn,CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ SỐ HỒNG HÀ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-02-23,Giấy phép chính thức (ABEI - Bộ TT&TT),235/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
100d.mobi,CÔNG TY CỔ PHẦN GIẢI TRÍ 100 ĐỘ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2019-02-05,Giấy phép chính thức (ABEI - Bộ TT&TT),2121 /QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
10up.vn,CÔNG TY CỔ PHẦN LIVEUP GROUP,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2023-06-27,Giấy phép chính thức (ABEI - Bộ TT&TT),222/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
123.dzogame.vn,CÔNG TY TNHH CHÂU Á MỀM,"GIẤY XÁC NHẬN THÔNG BÁO PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G2,G3,G4",2020-11-19,Giấy phép chính thức (ABEI - Bộ TT&TT),216/GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
123tamquoc.vn,CÔNG TY TNHH VMGE,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-10-13,Giấy phép chính thức (ABEI - Bộ TT&TT),1982/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
12r.vn,CÔNG TY CỔ PHẦN VTC TRUYỀN THÔNG TRỰC TUYẾN,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-08-17,Giấy phép chính thức (ABEI - Bộ TT&TT),211/GXN-PTTH&TTĐT,invalid,https://giayphep.abei.gov.vn/
1618plav.vn,CÔNG TY TNHH 1618PLAY,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2017-03-05,Giấy phép chính thức (ABEI - Bộ TT&TT),285/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
1618play.vn,CÔNG TY TNHH 1618PLAY,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2017-03-30,Giấy phép chính thức (ABEI - Bộ TT&TT),449/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
1creators.com,CÔNG TY CỔ PHẦN 1CREATORS ,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2026-05-29,Giấy phép chính thức (ABEI - Bộ TT&TT),101/GP-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
1creators.vn,CÔNG TY CỔ PHẦN 1CREATORS ,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2026-05-29,Giấy phép chính thức (ABEI - Bộ TT&TT),101/GP-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
1up.vn,NHÀ VĂN HÓA SINH VIÊN THÀNH PHỐ HỒ CHÍ MINH,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2017-03-09,Giấy phép chính thức (ABEI - Bộ TT&TT),100/GP-BTTTT,invalid,https://giayphep.abei.gov.vn/
