domain,owner,certified_date,cert_level,detail_url
1001gr.com,1001GROUP,02/08/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/1001grcom-1658831594
1022.cantho.gov.vn,Văn phòng Ủy ban nhân dân thành phố Cần Thơ,16/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/1022canthogovvn-1636961801
1022.tayninh.gov.vn,Ủy ban nhân dân tỉnh Tây Ninh,24/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/1022tayninhgovvn-1637640972
1022.tphcm.gov.vn,Sở Thông tin và Truyền thông thành phố Hồ Chí Minh,09/10/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/1022tphcmgovvn-1696833300
1022.vn,"Trung tâm Thông tin và giám sát, điều hành thông minh Đà Nẵng",28/12/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/1022vn-1703733299
115hanoi.lcssoft.com.vn,"Trung tâm Công nghệ phòng, chống dịch Covid-19 Quốc gia",06/09/2021,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/115hanoilcssoftcomvn-1630944381
19-8hospital.vn,Bệnh viện 198,01/11/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/19-8hospitalvn-1698822882
198hospital.vn,Bệnh viện 198,01/11/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/198hospitalvn-1698822884
24hstore.vn,Hộ kinh doanh 24hStore,19/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/24hstorevn-1652926664
a.vjst.vn,Tạp chí Khoa học và Công nghệ Việt Nam,22/12/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/avjstvn-1703239631
acquycaocap.vn,Công Ty TNHH Ắc Quy Cao Cấp,13/03/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/acquycaocapvn-1645374574
actiup.net,Công Ty Cổ Phần Techhaus Vietnam,30/08/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/actiupnet-1661143928
adelacruises.com,Công Ty TNHH Du Lịch Và Dịch Vụ Insight Hạ Long,07/09/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/adelacruisescom-1661757818
