domain,owner,category_type,certified_date,cert_level,license_number,status,detail_url
advertisingvietnam.vn,CÔNG TY TNHH ADVERTISING VIETNAM,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-09-17,Giấy phép (ABEI),398/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
www.advertisingvietnam.com,CÔNG TY TNHH ADVERTISING VIETNAM,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2020-09-17,Giấy phép (ABEI),398/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
sohaplay.vn,CÔNG TY TNHH SOHA,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2020-12-04,Giấy phép (ABEI),2142 /QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
stylerepublik.vn,CÔNG TY TNHH THỜI TRANG VÀ TRUYỀN THÔNG FACE & STYLE REPUBLIK VIỆT NAM,GIẤY XÁC NHẬN THÔNG BÁO CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2025-02-28,Giấy phép (ABEI),56 /GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
com.vn,Trung tâm Truyền thông Quảng Ninh,"Website - Báo, tạp chí điện tử",,Giấy phép (TVPL PDF),,valid,
005remix.vn,Công ty TNHH Vietnam Music Award,"MXH - Cá nhân, tổ chức",,Giấy phép (TVPL PDF),,valid,
tv.nld.com.vn,Báo Người lao động (Báo điện tử Người lao động),"Website - Báo, tạp chí điện tử",,Giấy phép (TVPL PDF),,valid,
100d.mobi,CÔNG TY CỔ PHẦN GIẢI TRÍ 100 ĐỘ,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2019-02-05,Giấy phép (ABEI),2121 /QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
10up.vn,CÔNG TY CỔ PHẦN LIVEUP GROUP,GIẤY PHÉP CUNG CẤP DỊCH VỤ MẠNG XÃ HỘI,2023-06-27,Giấy phép (ABEI),222/GP-BTTTT,valid,https://giayphep.abei.gov.vn/
123.dzogame.vn,CÔNG TY TNHH CHÂU Á MỀM,"GIẤY XÁC NHẬN THÔNG BÁO PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G2,G3,G4",2020-11-19,Giấy phép (ABEI),216/GXN-PTTH&TTĐT,valid,https://giayphep.abei.gov.vn/
123henho.vn,Công ty cổ phần Truyền thông VNFOCUS,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
123play.vn,Công ty Cổ phần Dịch vụ Một Thế Giới,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
123sao.vn,Công ty TNHH Giải pháp Công nghệ Truyền thông 123Sao,Website - Trang mạng xã hội,,Giấy phép (TVPL PDF),,valid,
123tamquoc.vn,CÔNG TY TNHH VMGE,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2023-10-13,Giấy phép (ABEI),1982/QĐ-BTTTT,invalid,https://giayphep.abei.gov.vn/
12r.vn,CÔNG TY CỔ PHẦN VTC TRUYỀN THÔNG TRỰC TUYẾN,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2018-08-17,Giấy phép (ABEI),211/GXN-PTTH&TTĐT,invalid,https://giayphep.abei.gov.vn/
1618plav.vn,CÔNG TY TNHH 1618PLAY,QUYẾT ĐỊNH PHÁT HÀNH TRÒ CHƠI ĐIỆN TỬ G1 TRÊN MẠNG,2017-03-05,Giấy phép (ABEI),285/QĐ-BTTTT,valid,https://giayphep.abei.gov.vn/
