domain,owner,type,certified_date,cert_level,detail_url
acb.com.vn,Ngân hàng TMCP Á Châu (ACB),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/acb.com.vn
agribank.com.vn,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/agribank.com.vn
angiang.gov.vn,UBND tỉnh An Giang,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/angiang.gov.vn
anhoa.kimson.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Ân Hoà, huyện Kim Sơn, tỉnh Ninh Bình",Tổ chức nhà nước,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/anhoakimsonninhbinhgovvn-1719453151
baclieu.gov.vn,UBND tỉnh Bạc Liêu,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baclieu.gov.vn
bacninh.gov.vn,UBND tỉnh Bắc Ninh,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bacninh.gov.vn
baohiemxahoi.gov.vn,Bảo hiểm Xã hội Việt Nam,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baohiemxahoi.gov.vn
baotangdanang.vn,Bảo tàng Đà Nẵng,Tổ chức nhà nước,29/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotangdanangvn-1729566355
baotonpuluong.vn,Ban Quản lý Khu Bảo tồn thiên nhiên Pù Luông tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotonpuluongvn-1729132963
baovietbank.com.vn,Ngân hàng TMCP Bảo Việt (BaoViet Bank),Ngân hàng - Tài chính,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baovietbank.com.vn
baria-vungtau.gov.vn,UBND tỉnh Bà Rịa - Vũng Tàu,Tổ chức nhà nước,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baria-vungtau.gov.vn
benennp.com.vn,Ban quản lý Vườn quốc gia Bến En tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benennpcomvn-1729132920
benhviendakhoaquangxuong.vn,Bệnh viện Đa khoa huyện Quảng Xương,Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendakhoaquangxuongvn-1727233140
benhviendakhoathachthanh.com.vn,Bệnh viện Đa khoa huyện Thạch Thành tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendakhoathachthanhcomvn-1729133565
benhviendalieuhanoi.com,Bệnh viện Da Liễu Hà Nội,Tổ chức nhà nước,11/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendalieuhanoicom-1730973833
