domain,owner,org_type,certified_date,cert_level,detail_url
angiang.gov.vn,HĐND & UBND tỉnh An Giang,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/angiang.gov.vn
anhoa.kimson.ninhbinh.gov.vn,"Uỷ ban nhân dân xã Ân Hoà, huyện Kim Sơn, tỉnh Ninh Bình",Hội đồng nhân dân & UBND,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/anhoakimsonninhbinhgovvn-1719453151
antoanthongtinhaiphong.gov.vn,Sở Thông tin và Truyền thông Hải Phòng,Hội đồng nhân dân & UBND,25/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/antoanthongtinhaiphonggovvn-1721790761
ats.vietnamtourism.gov.vn,Trung tâm Thông tin du lịch,Hội đồng nhân dân & UBND,12/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/atsvietnamtourismgovvn-1723449370
baclieu.gov.vn,HĐND & UBND tỉnh Bạc Liêu,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baclieu.gov.vn
bacninh.gov.vn,HĐND & UBND tỉnh Bắc Ninh,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bacninh.gov.vn
baohiemxahoi.gov.vn,Bảo hiểm Xã hội Việt Nam,Chính phủ Việt Nam,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baohiemxahoi.gov.vn
baoloc.lamdong.gov.vn,UBND thành phố Bảo Lộc,Hội đồng nhân dân & UBND,10/05/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baoloclamdonggovvn-1682474730
baotangdanang.vn,Bảo tàng Đà Nẵng,Tổ chức nhà nước,29/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotangdanangvn-1729566355
baotonpuluong.vn,Ban Quản lý Khu Bảo tồn thiên nhiên Pù Luông tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baotonpuluongvn-1729132963
baria-vungtau.gov.vn,HĐND & UBND tỉnh Bà Rịa - Vũng Tàu,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baria-vungtau.gov.vn
benennp.com.vn,Ban quản lý Vườn quốc gia Bến En tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benennpcomvn-1729132920
benhviendakhoalangchanh.vn,Bệnh viện đa khoa Lang Chánh,Tổ chức nhà nước,11/07/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendakhoalangchanhvn-1688699770
benhviendakhoaquangxuong.vn,Bệnh viện Đa khoa huyện Quảng Xương,Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendakhoaquangxuongvn-1727233140
benhviendakhoathachthanh.com.vn,Bệnh viện Đa khoa huyện Thạch Thành tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendakhoathachthanhcomvn-1729133565
benhviendalieuhanoi.com,Bệnh viện Da Liễu Hà Nội,Tổ chức nhà nước,11/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendalieuhanoicom-1730973833
benhviendktpthanhhoa.vn,Bệnh viện Đa khoa Thành phố Thanh Hoá,Tổ chức nhà nước,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhviendktpthanhhoavn-1727317000
benhvienmathanoi.gov.vn,Bệnh viện Mắt Hà Nội,Hội đồng nhân dân & UBND,11/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvienmathanoigovvn-1718005954
benhvienphusanthanhhoa.vn,Bệnh viện Phụ Sản Thanh hóa,Tổ chức nhà nước,19/12/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvienphusanthanhhoavn-1702448980
benhvientamthanthanhhoa.org.vn,Bệnh viện Tâm thần tỉnh Thanh Hoá,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvientamthanthanhhoaorgvn-1729133182
benhvienthoxuan.vn,"Bệnh viện Đa khoa huyện Thọ Xuân, Thanh Hóa",Tổ chức nhà nước,02/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvienthoxuanvn-1727681881
benhvientimhanoi.vn,Bệnh viện tim Hà Nội,Tổ chức nhà nước,11/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvientimhanoivn-1730973366
benhvientrieuson.vn,Bệnh viện đa khoa huyện Triệu Sơn,Tổ chức nhà nước,13/10/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvientrieusonvn-1695796982
benhvienungbuouthanhhoa.vn,Bệnh viện Ung bướu tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvienungbuouthanhhoavn-1729133224
benhvienyduoccotruyenphutho.com,Bệnh viện Y dược cổ truyền và phục hồi chức năng tỉnh Phú Thọ,Tổ chức nhà nước,08/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvienyduoccotruyenphuthocom-1723002095
benhvienyhctkontum.vn,Bệnh viện Y dược cổ truyền - Phục hồi chức năng tỉnh Kon Tum,Tổ chức nhà nước,26/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/benhvienyhctkontumvn-1717408454
bentre.gov.vn,HĐND & UBND tỉnh Bến Tre,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bentre.gov.vn
bichdao.tpninhbinh.ninhbinh.gov.vn,"Uỷ ban nhân dân phường Bích Đào, thành phố Ninh Bình, tỉnh Ninh Bình",Hội đồng nhân dân & UBND,27/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bichdaotpninhbinhninhbinhgovvn-1719472917
binhdinh.gov.vn,HĐND & UBND tỉnh Bình Định,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/binhdinh.gov.vn
binhphuoc.gov.vn,HĐND & UBND tỉnh Bình Phước,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/binhphuoc.gov.vn
bocongan.gov.vn,Bộ Công an,Chính phủ Việt Nam,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bocongan.gov.vn
bvdkmelinh.vn,Bệnh viện Đa khoa huyện Mê Linh,Tổ chức nhà nước,27/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdkmelinhvn-1732695421
bvdkquanson.com.vn,"Bệnh viện đa khoa huyện Quan Sơn, tỉnh Thanh Hóa",Tổ chức nhà nước,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdkquansoncomvn-1732249868
bvdksamson.vn,Bệnh viện Đa khoa Thành phố Sầm Sơn,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdksamsonvn-1729133270
bvdktinh.vinhlong.gov.vn,Bệnh viện Đa khoa Vĩnh Long,Hội đồng nhân dân & UBND,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdktinhvinhlonggovvn-1723689323
bvdkvinhloc.gov.vn,"Bệnh viện đa khoa huyện Vĩnh Lộc, tỉnh Thanh Hóa",Hội đồng nhân dân & UBND,25/11/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvdkvinhlocgovvn-1732249908
bvhoaphu.vinhlong.gov.vn,Bệnh viện Đa khoa khu vực Hòa Phú tỉnh Vĩnh Long,Hội đồng nhân dân & UBND,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvhoaphuvinhlonggovvn-1723689425
bvkvnghison.vn,Bệnh viện Đa khoa khu vực Nghi Sơn tỉnh Thanh Hóa,Tổ chức nhà nước,17/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvkvnghisonvn-1729133480
bvnamlienchieu.com,Bệnh viện đa khoa Nam Liên Chiểu,Tổ chức nhà nước,17/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvnamlienchieucom-1657269063
bvnhuxuan.ytethanhhoa.gov.vn,Bệnh viện đa khoa huyện Như Xuân,Hội đồng nhân dân & UBND,26/09/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvnhuxuanytethanhhoagovvn-1727317048
bvp.vinhlong.gov.vn,Bệnh viện Phổi Vĩnh Long,Hội đồng nhân dân & UBND,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvpvinhlonggovvn-1723689224
bvqdy.vinhlong.gov.vn,Bệnh viện Đa khoa khu vực kết hợp Quân Dân Y tỉnh Vĩnh Long,Hội đồng nhân dân & UBND,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvqdyvinhlonggovvn-1723689364
bvquanhoa.ytethanhhoa.gov.vn,Bệnh viện đa khoa huyện Quan Hóa,Hội đồng nhân dân & UBND,26/07/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvquanhoaytethanhhoagovvn-1688564048
bvtamthan.vinhlong.gov.vn,Bệnh viện Tâm Thần Vĩnh Long,Hội đồng nhân dân & UBND,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvtamthanvinhlonggovvn-1723689192
bvtamthankontum.vn,Bệnh viện Tâm Thần tỉnh Kon Tum,Tổ chức nhà nước,25/06/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvtamthankontumvn-1715669739
bvydct.vinhlong.gov.vn,Bệnh viện Y dược cổ truyền tỉnh Vĩnh Long,Hội đồng nhân dân & UBND,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bvydctvinhlonggovvn-1723689288
c1vthang-nt.khanhhoa.edu.vn,Trường Tiểu học Vạn Thắng - Nha Trang,Tổ chức nhà nước,07/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/c1vthang-ntkhanhhoaeduvn-1728267604
camau.edu.vn,Sở Giáo dục và Đào tạo tỉnh Cà Mau,Tổ chức nhà nước,12/12/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/camaueduvn-1686035603
camau.gov.vn,HĐND & UBND tỉnh Cà Mau,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/camau.gov.vn
canhantmdt.gdt.gov.vn,Tổng cục Thuế,Chính phủ Việt Nam,02/01/2025,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/canhantmdtgdtgovvn-1735615850
cantho.gov.vn,HĐND & UBND TP Cần Thơ,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cantho.gov.vn
caobang.gov.vn,HĐND & UBND tỉnh Cao Bằng,Hội đồng nhân dân & UBND,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/caobang.gov.vn
capellacruise.com,Công Ty Cổ Phần Đầu Tư Việt Star Cruise,Tổ chức nhà nước,03/03/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/capellacruisecom-1645171081
ccatvstp.vinhlong.gov.vn,Chi cục An toàn vệ sinh thực phẩm tỉnh Vĩnh Long,Chính phủ Việt Nam,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ccatvstpvinhlonggovvn-1723689143
ccds.vinhlong.gov.vn,Chi cục Dân số - Kế hoạch hóa gia đình tỉnh Vĩnh Long,Chính phủ Việt Nam,15/08/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/ccdsvinhlonggovvn-1723689102
cddl.edu.vn,Trường Cao đẳng Đà Lạt,Tổ chức nhà nước,08/10/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cddleduvn-1726647629
cdhue.edu.vn,Trường Cao đẳng Huế,Tổ chức nhà nước,06/12/2024,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cdhueeduvn-1733304682
