domain,owner,category_type,certified_date,cert_level,detail_url
9pay.vn,Công ty Cổ phần 9Pay,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/9pay.vn
airpay.vn,AirPay (ShopeePay),Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/airpay.vn
alepay.vn,Cổng thanh toán Alepay,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/alepay.vn
anhlinhmkt.com,Anhlinhmkt,Ví điện tử & Cổng thanh toán,22/06/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/anhlinhmktcom-1655736075
api.web2m.com,Công ty TNHH Thương Mại Và Dịch Vụ FUTE,Ví điện tử & Cổng thanh toán,26/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/apiweb2mcom-1658547772
appota.com,Tập đoàn Appota,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/appota.com
appotapay.com,Công ty Cổ phần AppotaPay,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/appotapay.com
balico.com.vn,Cty TNHH Thương mại dịch vụ phát triển Bảo Linh,Ví điện tử & Cổng thanh toán,17/11/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/balicocomvn-1636961020
baokim.vn,Công ty Cổ phần Thương mại Điện tử Bảo Kim,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/baokim.vn
bkhost.vn,Công Ty Cổ Phần Giải Pháp Mạng Trực Tuyến Việt Nam,Ví điện tử & Cổng thanh toán,03/03/2023,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bkhostvn-1644995878
bkns.vn,Công ty cổ phần giải pháp mạng Bạch Kim,Ví điện tử & Cổng thanh toán,18/01/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/bknsvn-1638172543
business.momo.vn,MoMo Business Portal,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/business.momo.vn
cake.vn,Ngân hàng số Cake by VPBank,Ví điện tử & Cổng thanh toán,Đã xác thực chính thức,Chứng nhận nâng cao,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cake.vn
chogia.vn,CÔNG TY CỔ PHẦN XCORP,Ví điện tử & Cổng thanh toán,24/08/2021,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/cho-gia-1628870232
chotroi.vn,CÔNG TY CỔ PHẦN XCORP,Ví điện tử & Cổng thanh toán,29/07/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/chotroivn-1659068453
chungkhoanlagi.vn,Siêu thị chứng khoán Nududo,Ví điện tử & Cổng thanh toán,06/05/2022,Chứng nhận cơ bản,https://tinnhiemmang.vn/danh-ba-tin-nhiem/chungkhoanlagivn-1651807586
